2016-09-18 19:38:28.3726 | INFO | Auction.Global | Application Start
2016-09-18 19:38:39.7642 | INFO | Auction.Global | Application Start
2016-09-18 22:38:11.5954 | INFO | Auction.Global | Application Start
2016-09-18 22:39:38.5786 | INFO | Auction.Global | Application Start
2016-09-18 22:51:05.3092 | INFO | Auction.Global | Application Start
2016-09-18 22:53:24.1641 | INFO | Auction.Global | Application Start
2016-09-18 22:55:47.0233 | INFO | Auction.Global | Application Start
2016-09-18 22:58:28.6123 | INFO | Auction.Global | Application Start
2016-09-18 23:01:27.8536 | INFO | Auction.Global | Application Start
2016-09-18 23:01:36.4324 | INFO | Auction.Global | Application Error
2016-09-18 23:01:36.4844 | INFO | Auction.Global | Application Error
2016-09-18 23:01:47.2785 | INFO | Auction.Global | Application Error
2016-09-18 23:01:47.3035 | INFO | Auction.Global | Application Error
2016-09-18 23:01:55.3180 | INFO | Auction.Global | Application Error
2016-09-18 23:01:55.3430 | INFO | Auction.Global | Application Error
2016-09-18 23:20:25.6943 | INFO | Auction.Global | Application Error
2016-09-18 23:20:25.7353 | INFO | Auction.Global | Application Error
2016-09-18 23:22:18.6463 | INFO | Auction.Global | Application Start
2016-09-18 23:22:49.1882 | INFO | Auction.Global | Application Error
2016-09-18 23:22:49.2237 | INFO | Auction.Global | Application Error
2016-09-18 23:22:55.8973 | INFO | Auction.Global | Application Error
2016-09-18 23:22:55.9331 | INFO | Auction.Global | Application Error
2016-09-18 23:23:59.7497 | INFO | Auction.Global | Application Start
2016-09-18 23:24:14.0795 | INFO | Auction.Global | Application Error
2016-09-18 23:24:14.1285 | INFO | Auction.Global | Application Error
2016-09-18 23:25:30.5340 | INFO | Auction.Global | Application Start
2016-09-18 23:25:52.6560 | INFO | Auction.Global | Application Error
